study_id,facet,code,character,finder_group,review_status
cov1514,organism,HUMAN,,Human,reviewed
cov1514,organism,CELL_CULTURE,,Cell culture,reviewed
cov1514,sample_type,CELLS,CELLS,,reviewed
cov1515,organism,BIVALVE,,Bivalve,reviewed
cov1515,organism,CRUSTACEAN,,Crustacean,reviewed
cov1515,organism,FISH,,Fish,reviewed
cov1515,sample_type,MUSCLE,PROTEIN,,reviewed
cov1515,sample_type,SOFT_TISSUE,PROTEIN,,reviewed
cov1525,organism,HUMAN,,Human,draft
cov1525,sample_type,BODY_FLUID,AQUEOUS,,draft
cov1588,organism,CRUSTACEAN,,Crustacean,reviewed
cov1588,organism,INSECT,,Other invertebrate,reviewed
cov1588,organism,ANNELID,,Other invertebrate,reviewed
cov1588,organism,GASTROPOD,,Other invertebrate,reviewed
cov1588,sample_type,GI_TRACT,GUT,,reviewed
cov1588,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov1588,environment_sample,SOIL,,,reviewed
cov1610,organism,FISH,,Fish,draft
cov1610,sample_type,GI_TRACT,GUT,,draft
cov1654,organism,MODEL_PARTICLES,,Other,reviewed
cov1666,organism,ZOOPLANKTON,,Other invertebrate,draft
cov1666,sample_type,GI_CONTENTS,GUT,,draft
cov1666,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov1700,organism,HUMAN,,Human,reviewed
cov1700,organism,CELL_CULTURE,,Cell culture,reviewed
cov1700,sample_type,CELLS,CELLS,,reviewed
cov1702,organism,FISH,,Fish,reviewed
cov1702,organism,INVERT_MIXED,,Other invertebrate,reviewed
cov1702,sample_type,GI_CONTENTS,GUT,,reviewed
cov1702,sample_type,GI_TRACT,GUT,,reviewed
cov1702,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov1729,organism,FISH,,Fish,draft
cov1729,sample_type,ORGAN,PROTEIN,,draft
cov1760,organism,MAMMAL,,Mammal (non-human),draft
cov1760,sample_type,GI_TRACT,GUT,,draft
cov1760,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov1760,sample_type,ORGAN,PROTEIN,,draft
cov1760,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov1760,sample_type,BLOOD,BLOOD,,draft
cov1834,organism,MAMMAL,,Mammal (non-human),draft
cov1834,sample_type,GI_TRACT,GUT,,draft
cov1834,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov1834,sample_type,ORGAN,PROTEIN,,draft
cov1834,sample_type,SECTION,SECTION,,draft
cov1849,organism,HUMAN,,Human,draft
cov1849,sample_type,BLOOD,BLOOD,,draft
cov1851,organism,MAMMAL,,Mammal (non-human),draft
cov1851,sample_type,FECES,FECAL,,draft
cov1851,sample_type,PLANT_TISSUE,PLANT,,draft
cov1877,organism,PLANT,,Plant or alga,reviewed
cov1877,organism,FOOD_PRODUCT,,Food product,reviewed
cov1877,sample_type,FOOD,FOOD,,reviewed
cov1978,organism,MAMMAL,,Mammal (non-human),draft
cov1978,sample_type,FECES,FECAL,,draft
cov2016,organism,FISH,,Fish,draft
cov2016,sample_type,MUSCLE,PROTEIN,,draft
cov1854,organism,HUMAN,,Human,reviewed
cov1854,organism,CELL_CULTURE,,Cell culture,reviewed
cov1854,sample_type,CELLS,CELLS,,reviewed
cov2029,organism,MAMMAL,,Mammal (non-human),draft
cov2029,sample_type,GI_TRACT,GUT,,draft
cov2029,sample_type,MUSCLE,PROTEIN,,draft
cov2029,sample_type,ORGAN,PROTEIN,,draft
cov2046,organism,MAMMAL,,Mammal (non-human),draft
cov2046,sample_type,GI_TRACT,GUT,,draft
cov2046,sample_type,ORGAN,PROTEIN,,draft
cov2046,sample_type,BLOOD,BLOOD,,draft
cov2072,organism,ANNELID,,Other invertebrate,draft
cov2072,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2081,organism,HUMAN,,Human,draft
cov2081,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov2081,sample_type,ORGAN,PROTEIN,,draft
cov2097,organism,MAMMAL,,Mammal (non-human),draft
cov2097,sample_type,ORGAN,PROTEIN,,draft
cov2097,sample_type,BLOOD,BLOOD,,draft
cov2135,organism,HUMAN,,Human,draft
cov2135,sample_type,MILK,LIPID_FLUID,,draft
cov2139,organism,CRUSTACEAN,,Crustacean,reviewed
cov2139,organism,FISH,,Fish,reviewed
cov2139,organism,ZOOPLANKTON,,Other invertebrate,reviewed
cov2139,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov2158,organism,CNIDARIAN,,Other invertebrate,draft
cov2158,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2162,organism,FISH,,Fish,draft
cov2162,sample_type,GI_CONTENTS,GUT,,draft
cov2162,sample_type,GI_TRACT,GUT,,draft
cov2162,sample_type,MUSCLE,PROTEIN,,draft
cov2162,sample_type,SECTION,SECTION,,draft
cov2166,organism,ANNELID,,Other invertebrate,draft
cov2166,organism,SPONGE,,Other invertebrate,draft
cov2166,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov2170,organism,BIVALVE,,Bivalve,draft
cov2170,organism,FISH,,Fish,draft
cov2170,sample_type,GI_TRACT,GUT,,draft
cov2170,sample_type,GILL,PROTEIN,,draft
cov2170,sample_type,ORGAN,PROTEIN,,draft
cov2170,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov2173,organism,FISH,,Fish,draft
cov2173,sample_type,GI_CONTENTS,GUT,,draft
cov2173,sample_type,GI_TRACT,GUT,,draft
cov2176,organism,FISH,,Fish,draft
cov2176,sample_type,GI_CONTENTS,GUT,,draft
cov2176,sample_type,GI_TRACT,GUT,,draft
cov2176,sample_type,GILL,PROTEIN,,draft
cov2200,organism,HUMAN,,Human,draft
cov2200,sample_type,BODY_FLUID,AQUEOUS,,draft
cov2208,organism,BIVALVE,,Bivalve,reviewed
cov2208,organism,FISH,,Fish,reviewed
cov2208,organism,CEPHALOPOD,,Other invertebrate,reviewed
cov2208,organism,FOOD_PRODUCT,,Food product,reviewed
cov2208,sample_type,GI_TRACT,GUT,,reviewed
cov2208,sample_type,GILL,PROTEIN,,reviewed
cov2208,sample_type,MUSCLE,PROTEIN,,reviewed
cov2208,sample_type,FOOD,FOOD,,reviewed
cov2233,organism,FISH,,Fish,draft
cov2233,sample_type,GI_TRACT,GUT,,draft
cov2233,sample_type,GILL,PROTEIN,,draft
cov2233,sample_type,MUSCLE,PROTEIN,,draft
cov2233,sample_type,ORGAN,PROTEIN,,draft
cov2243,organism,HUMAN,,Human,draft
